name,root,type,notes
C Major,C,Major Triad,60;64;67
C Major 1st Inv,C,Major Triad 1st Inv,64;67;72
C Major 2nd Inv,C,Major Triad 2nd Inv,67;72;76
C Minor,C,Minor Triad,60;63;67
C Minor 1st Inv,C,Minor Triad 1st Inv,63;67;72
C Minor 2nd Inv,C,Minor Triad 2nd Inv,67;72;75
C Diminished,C,Diminished Triad,60;63;66
C Diminished 1st Inv,C,Diminished Triad 1st Inv,63;66;72
C Diminished 2nd Inv,C,Diminished Triad 2nd Inv,66;72;75
C Augmented,C,Augmented Triad,60;64;68
C Augmented 1st Inv,C,Augmented Triad 1st Inv,64;68;72
C Augmented 2nd Inv,C,Augmented Triad 2nd Inv,68;72;76
C# Major,C#,Major Triad,61;65;68
C# Major 1st Inv,C#,Major Triad 1st Inv,65;68;73
C# Major 2nd Inv,C#,Major Triad 2nd Inv,68;73;77
C# Minor,C#,Minor Triad,61;64;68
C# Minor 1st Inv,C#,Minor Triad 1st Inv,64;68;73
C# Minor 2nd Inv,C#,Minor Triad 2nd Inv,68;73;76
C# Diminished,C#,Diminished Triad,61;64;67
C# Diminished 1st Inv,C#,Diminished Triad 1st Inv,64;67;73
C# Diminished 2nd Inv,C#,Diminished Triad 2nd Inv,67;73;76
C# Augmented,C#,Augmented Triad,61;65;69
C# Augmented 1st Inv,C#,Augmented Triad 1st Inv,65;69;73
C# Augmented 2nd Inv,C#,Augmented Triad 2nd Inv,69;73;77
D Major,D,Major Triad,62;66;69
D Major 1st Inv,D,Major Triad 1st Inv,66;69;74
D Major 2nd Inv,D,Major Triad 2nd Inv,69;74;78
D Minor,D,Minor Triad,62;65;69
D Minor 1st Inv,D,Minor Triad 1st Inv,65;69;74
D Minor 2nd Inv,D,Minor Triad 2nd Inv,69;74;77
D Diminished,D,Diminished Triad,62;65;68
D Diminished 1st Inv,D,Diminished Triad 1st Inv,65;68;74
D Diminished 2nd Inv,D,Diminished Triad 2nd Inv,68;74;77
D Augmented,D,Augmented Triad,62;66;70
