name,root,type,notes
C Dorian Scale,C,Dorian,60;62;63;65;67;69;70;72
C# Dorian Scale,C#,Dorian,61;63;64;66;68;70;71;73
D Dorian Scale,D,Dorian,62;64;65;67;69;71;72;74
D# Dorian Scale,D#,Dorian,63;65;66;68;70;72;73;75
E Dorian Scale,E,Dorian,64;66;67;69;71;73;74;76
F Dorian Scale,F,Dorian,65;67;68;70;72;74;75;77
F# Dorian Scale,F#,Dorian,66;68;69;71;73;75;76;78
G Dorian Scale,G,Dorian,67;69;70;72;74;76;77;79
G# Dorian Scale,G#,Dorian,68;70;71;73;75;77;78;80
A Dorian Scale,A,Dorian,69;71;72;74;76;78;79;81
A# Dorian Scale,A#,Dorian,70;72;73;75;77;79;80;82
B Dorian Scale,B,Dorian,71;73;74;76;78;80;81;83 
