name,root,type,notes
C Major 7,C,Major 7,60;64;67;71
C Dominant 7,C,Dominant 7,60;64;67;70
C Minor 7,C,Minor 7,60;63;67;70
C Minor 7b5,C,Minor 7b5,60;63;66;70
C Diminished 7,C,Diminished 7,60;63;66;69
C# Major 7,C#,Major 7,61;65;68;72
C# Dominant 7,C#,Dominant 7,61;65;68;71
C# Minor 7,C#,Minor 7,61;64;68;71
C# Minor 7b5,C#,Minor 7b5,61;64;67;71
C# Diminished 7,C#,Diminished 7,61;64;67;70
D Major 7,D,Major 7,62;66;69;73
D Dominant 7,D,Dominant 7,62;66;69;72
D Minor 7,D,Minor 7,62;65;69;72
D Minor 7b5,D,Minor 7b5,62;65;68;72
D Diminished 7,D,Diminished 7,62;65;68;71
E Major 7,E,Major 7,64;68;71;75
E Dominant 7,E,Dominant 7,64;68;71;74
E Minor 7,E,Minor 7,64;67;71;74
E Minor 7b5,E,Minor 7b5,64;67;70;74
E Diminished 7,E,Diminished 7,64;67;70;73
F Major 7,F,Major 7,65;69;72;76
F Dominant 7,F,Dominant 7,65;69;72;75
F Minor 7,F,Minor 7,65;68;72;75
F Minor 7b5,F,Minor 7b5,65;68;71;75
F Diminished 7,F,Diminished 7,65;68;71;74
G Major 7,G,Major 7,67;71;74;78
G Dominant 7,G,Dominant 7,67;71;74;77
G Minor 7,G,Minor 7,67;70;74;77
G Minor 7b5,G,Minor 7b5,67;70;73;77
G Diminished 7,G,Diminished 7,67;70;73;76
A Major 7,A,Major 7,69;73;76;80
A Dominant 7,A,Dominant 7,69;73;76;79
A Minor 7,A,Minor 7,69;72;76;79
A Minor 7b5,A,Minor 7b5,69;72;75;79
A Diminished 7,A,Diminished 7,69;72;75;78
B Major 7,B,Major 7,71;75;78;82
B Dominant 7,B,Dominant 7,71;75;78;81
B Minor 7,B,Minor 7,71;74;78;81
B Minor 7b5,B,Minor 7b5,71;74;77;81
B Diminished 7,B,Diminished 7,71;74;77;80 
